sourceCurrency,targetCurrency,sourceAmount
VND,HRK,672.26
JOD,IDR,5755.71
HRK,JPY,518.38
PLN,PHP,70.05
TRY,HKD,595.4
HUF,NOK,7651.55
KRW,CAD,8370.4
SEK,GBP,6352.59
KRW,AED,983.64
PHP,NZD,92.3
AED,KRW,500.4
ILS,BGN,599.51
KRW,DKK,63.89
SGD,HRK,4933.49
ILS,DKK,967.3
CHF,JOD,6483.87
OMR,BGN,567.97
HKD,VND,955.2
MXN,PLN,2023.87
HUF,MYR,2331.52
DKK,RUB,69.23
AED,PLN,96.88
PHP,ILS,993.18
AUD,INR,6851.02
ILS,USD,90.94
DKK,KRW,79.19
TRY,USD,2183.04
NOK,HUF,76.14
DKK,KRW,980.79
THB,MXN,704.01
CHF,BHD,17314.71
GBP,RUB,2140.42
KRW,JPY,92.62
OMR,PHP,700.16
BRL,SEK,66.92
NOK,HKD,36.85
JOD,RUB,1072.89
AUD,PLN,86.91
PHP,MYR,83.31
NZD,ILS,14.11
TRY,SAR,749.37
BGN,SGD,93.34
BGN,VND,3538.76
SEK,GBP,30.68
PHP,HUF,3553.34
SAR,AUD,64.35
RUB,HKD,69.08
VND,OMR,989.64
EUR,JPY,135.57
ZAR,DKK,760.84
DKK,CZK,388.68
VND,BHD,31.99
IDR,SGD,87.91
MYR,INR,88.36
MYR,CHF,21.65
USD,ZAR,95.31
THB,NZD,1247.37
HUF,CNY,467.96
MXN,MYR,1903.98
QAR,CHF,385.69
HKD,KRW,724.11
BRL,EUR,51.74
RUB,MYR,750.66
NZD,NOK,12.18
HUF,KWD,22.4
MXN,SGD,68.55
KWD,USD,92.54
AED,USD,1704.53
CAD,TRY,352.93
SEK,BGN,3138.0
VND,PHP,567.97
MXN,CHF,71.27
KWD,IDR,26.56
JPY,BGN,97.79
CNY,HKD,38.59
CAD,AUD,7587.26
QAR,USD,372.7
HUF,BRL,862.35
NZD,USD,1741.51
NOK,HRK,47.94
CZK,BGN,7974.12
SGD,EUR,77966.82
HKD,CAD,33.32
QAR,CZK,88.21
HRK,AUD,2024.27
SGD,SEK,363.83
AED,INR,76.12
BHD,SAR,19.4
NZD,CAD,7179.22
HKD,EUR,43.92
QAR,HRK,76.53
ILS,IDR,7263.66
JOD,JPY,20.16
SAR,AED,392.65
RUB,AUD,1328.17
HUF,THB,43.84
THB,AED,742.14
NOK,SAR,747.74
AUD,PLN,26.01
BRL,PLN,2002.95
GBP,IDR,38.0
RON,USD,754.26
RON,HKD,16.65
KRW,PLN,342.49
PHP,CNY,40.25
QAR,THB,9000.24
BGN,NZD,43.84
IDR,JOD,623.43
GBP,THB,93311.33
CHF,BHD,4098.13
VND,THB,720.29
HUF,IDR,7369.11
USD,HRK,99.34
KRW,CAD,54.23
AUD,DKK,442.82
JOD,CNY,43.47
HKD,ZAR,58.03
VND,OMR,31.4
HRK,NOK,51.5
BHD,KRW,68.31
CAD,IDR,2034.36
PHP,AUD,4599.75
DKK,IDR,3030.29
THB,BHD,94343.82
NZD,DKK,795.53
PLN,IDR,7518.54
KRW,AED,33.95
NZD,INR,80.85
PLN,GBP,970.72
KRW,KWD,476.64
ILS,NZD,43.52
HUF,PLN,23.18
ILS,NOK,30.1
SGD,MXN,932.43
KRW,PHP,344.69
GBP,HRK,713.76
ZAR,PHP,179.83
KRW,CZK,49.25
BHD,HKD,521.74
EUR,NZD,432.73
MXN,OMR,762.34
BHD,BGN,47900.87
DKK,CZK,233.45
IDR,OMR,91.99
BHD,USD,410.87
AUD,KRW,226.42
KRW,RUB,80.86
AUD,QAR,700.46
CZK,HRK,66.95
USD,THB,812.29
DKK,SGD,4637.52
PHP,RON,64.43
HRK,AUD,98.9
CNY,PLN,19.76
AED,AUD,20.82
JOD,AED,97.62
BHD,KRW,47.17
TRY,HUF,182.96
BGN,MXN,8227.2
EUR,MXN,1322.22
RUB,QAR,6569.62
SAR,INR,9269.85
BHD,SAR,54.31
SGD,JPY,38.73
KWD,PHP,9662.72
BGN,NOK,3030.18
OMR,RON,7424.58
MXN,IDR,862.91
THB,IDR,79014.76
AUD,SAR,48.03
MXN,CAD,8292.66
BGN,JOD,3560.47
SEK,CZK,44.58
ILS,KRW,283.12
HKD,TRY,480.45
SAR,HUF,75.98
CZK,BHD,43.65
HKD,JPY,67.5
CZK,CAD,538.13
CZK,HUF,86640.31
ILS,CZK,33.33
MYR,QAR,34.72
MYR,DKK,443.91
HKD,MXN,8127.56
MXN,RUB,518.31
CAD,CNY,22.01
HKD,HUF,5514.62
SGD,AED,786.86
KWD,IDR,41.91
RON,BHD,96.1
NZD,PHP,842.55
OMR,ZAR,94.04
BHD,ILS,78.25
KWD,GBP,19.8
JOD,DKK,344.32
GBP,BGN,439.6
CAD,PHP,97.56
DKK,CZK,737.32
CZK,VND,60.94
MYR,INR,328.26
CNY,INR,96.57
OMR,USD,6123.13
RUB,DKK,4976.24
ZAR,EUR,28.45
SGD,ILS,79.77
RUB,EUR,42.88
HRK,KRW,44.52
BGN,THB,52.24
KRW,AED,6593.86
CZK,PLN,62.42
JOD,VND,274.2
BGN,BRL,66.73
ILS,AED,40.97
IDR,DKK,99.17
KRW,ILS,22.58
VND,BHD,1077.79
KRW,TRY,3614.4
KWD,HUF,35.61
QAR,CZK,466.46
NOK,ZAR,4964.23
NOK,INR,17.31
HRK,CZK,175.73
GBP,DKK,9722.85
AUD,ZAR,607.7
TRY,BGN,65.48
HKD,JPY,64.82
THB,HRK,44.17
EUR,CZK,43.25
SGD,CAD,468.56
PHP,NZD,231.13
MXN,VND,74.15
PLN,AUD,6289.4
BRL,NZD,374.03
KRW,MYR,578.21
MYR,USD,733.68
HKD,HRK,96.13
USD,MXN,991.62
GBP,KRW,11329.3
TRY,BRL,12.83
HKD,BHD,922.01
OMR,HUF,86.66
AED,HRK,23.4
NOK,PLN,25.03
IDR,SGD,8661.75
PHP,JPY,582.81
DKK,KRW,825.73
USD,JPY,2574.96
HRK,TRY,64.01
CZK,IDR,947.48
BRL,MYR,52.71
RUB,INR,41.69
EUR,AED,1796.42
CZK,RUB,6083.31
VND,HUF,50.96
BRL,DKK,33.08
TRY,MXN,574.26
GBP,JOD,65.95
ZAR,HRK,88.74
VND,IDR,27689.56
NZD,DKK,96.15
HUF,PLN,8121.32
SEK,JOD,790.21
CZK,HKD,7924.24
ZAR,ILS,63.04
HRK,HKD,806.38
AED,TRY,476.42
SEK,PLN,25.31
QAR,IDR,797.48
THB,NOK,738.79
KRW,BHD,311.5
RON,VND,506.17
PHP,ZAR,8066.34
CHF,CAD,69.76
THB,CZK,39.83
SGD,QAR,647.79
KWD,INR,96.95
BHD,DKK,77.27
NOK,HUF,878.69
AED,RON,359.91
AED,HRK,8102.76
RON,EUR,17.14
NOK,HUF,292.5
PLN,IDR,544.48
THB,NOK,86.48
AUD,JOD,53222.1
SAR,RON,4523.14
BRL,ZAR,83.67
SGD,PHP,678.05
ZAR,AUD,704.99
RON,SEK,97.16
MXN,DKK,604.2
DKK,KRW,96.77
EUR,JOD,43.4
JPY,NOK,343.77
CAD,KWD,3781.1
NOK,INR,31.04
KWD,SGD,97.44
BRL,HKD,80.19
KWD,AUD,34.39
CZK,AED,772.38
NZD,CHF,1151.69
AUD,RUB,950.76
VND,KRW,277.87
JPY,RON,81.63
JPY,BHD,31.68
IDR,CNY,26.14
USD,MXN,33.4
BHD,THB,701.37
CAD,INR,99.03
IDR,HUF,854.36
EUR,AUD,143.14
RUB,NOK,4982.3
PHP,CZK,73758.13
IDR,SGD,411.16
ZAR,QAR,576.55
BGN,HKD,8757.12
HUF,CZK,6489.62
INR,HRK,641.24
VND,THB,41.18
CZK,USD,752.12
VND,DKK,939.78
ZAR,NZD,53.49
OMR,CZK,89.66
BRL,SGD,476.95
AED,KRW,70.52
THB,HRK,341.72
AED,OMR,44.58
MYR,BRL,82013.59
ZAR,KWD,7508.85
EUR,IDR,45.08
JOD,BHD,18803.91
VND,GBP,99.14
ZAR,AED,2872.7
BHD,MXN,2197.22
VND,CNY,93.49
JOD,HUF,1298.6
GBP,QAR,228.9
HRK,ZAR,95.61
JOD,ZAR,87.41
SAR,THB,84.0
QAR,HKD,9507.64
IDR,HKD,73.94
RUB,EUR,173.3
HUF,NOK,460.77
INR,AED,728.71
PLN,QAR,171.67
CAD,SGD,952.17
PLN,MXN,116.58
IDR,RUB,395.71
BRL,CHF,30.05
RON,SEK,509.08
OMR,TRY,4282.55
HRK,PLN,75132.72
VND,PLN,31.24
BHD,SGD,4945.56
INR,PHP,928.97
HRK,MXN,76.67
SGD,HUF,59.54
NOK,VND,8112.77
AED,BRL,277.69
HKD,NOK,844.74
THB,VND,230.78
ILS,CAD,19.54
GBP,MYR,180.95
MXN,JPY,480.99
HKD,EUR,298.38
VND,KWD,40.87
ILS,SEK,63963.77
MXN,AUD,28.83
CHF,JPY,921.73
OMR,PLN,884.2
HUF,USD,861.97
CNY,JOD,28398.1
GBP,JOD,13.46
CHF,ZAR,20.14
CAD,VND,86.45
CZK,HUF,138.02
PHP,RON,392.5
PHP,BHD,150.2
RON,KRW,254.72
QAR,OMR,72.56
ILS,JPY,5533.2
HRK,HKD,31.29
NZD,CZK,22.98
SEK,RUB,36.12
CHF,MXN,6979.13
AUD,KWD,4677.03
IDR,MXN,2100.0
CHF,SEK,59513.11
MYR,AUD,83.46
VND,JPY,7316.13
QAR,IDR,63.0
GBP,MXN,2096.68
JOD,ILS,2733.65
CNY,DKK,94.82
KWD,SAR,1534.77
JOD,PLN,77.94
AUD,CAD,853.23
HUF,EUR,746.72
BRL,NOK,35.08
AED,RUB,9685.72
RON,ILS,371.46
HKD,BRL,37.11
JPY,ILS,449.03
HKD,SEK,80.37
NZD,HUF,6808.48
USD,MYR,768.38
HKD,MXN,85.52
NOK,NZD,3317.76
HUF,VND,59.99
BHD,ZAR,487.8
CAD,PHP,99.26
MXN,NOK,1356.17
PHP,RON,82.53
HRK,USD,69.66
KWD,SGD,33.02
QAR,OMR,26.75
VND,USD,592.42
ILS,HKD,662.41
QAR,CZK,712.28
NZD,AED,21.54
CNY,SGD,5384.8
AUD,PHP,1408.0
ILS,IDR,8727.23
INR,CZK,952.43
IDR,AUD,1388.03
CAD,OMR,98.12
GBP,HKD,56.76
CNY,QAR,93.52
BGN,ILS,23612.61
AUD,JOD,807.63
SGD,CAD,742.85
JPY,INR,68.19
EUR,USD,43.77
ZAR,PLN,574.6
MXN,IDR,114.42
BRL,SEK,7001.26
RUB,SAR,62.48
RUB,EUR,99.75
CAD,KRW,82.87
RUB,PLN,16.03
HRK,TRY,620.17
OMR,RUB,33039.26
KWD,BRL,87.63
USD,HRK,9257.45
SEK,SGD,663.64
RUB,INR,46.58
NZD,BGN,939.38
HRK,MXN,525.11
DKK,JOD,4326.11
PHP,SAR,75.03
QAR,ZAR,89.1
MYR,JPY,517.66
QAR,TRY,78.28
BRL,OMR,6861.09
CHF,NZD,61972.64
QAR,JPY,42.03
SEK,BHD,39.49
TRY,RON,84.32
KWD,MYR,6675.48
THB,RON,356.72
CNY,HRK,61.39
CZK,HRK,83.78
INR,PLN,26.89
EUR,ILS,365.07
BRL,CNY,78.38
EUR,INR,19.5
GBP,TRY,7015.3
ZAR,AUD,201.16
CAD,RUB,88.36
AUD,SGD,9459.24
DKK,CNY,83029.26
NZD,PHP,5650.96
EUR,KWD,15.07
TRY,CZK,583.95
TRY,GBP,59.03
ILS,JPY,765.51
BRL,INR,484.4
HKD,KWD,15.94
AUD,HUF,879.47
INR,GBP,74.65
QAR,SAR,50.26
SGD,BHD,80.27
CNY,JPY,42.55
CNY,EUR,493.42
QAR,AUD,451.92
RUB,BHD,500.8
RON,SEK,11.1
KWD,BRL,44.17
KWD,QAR,879.29
CNY,THB,752.08
HKD,CNY,6523.78
ZAR,MYR,189.58
JOD,ILS,28.98
GBP,OMR,18188.55
MXN,TRY,14944.04
CHF,SEK,484.66
KRW,CZK,86.03
HKD,EUR,867.98
SAR,VND,6840.89
RUB,AED,24.41
NZD,NOK,71.82
MYR,HRK,43.11
BRL,INR,11.02
SGD,TRY,51.6
HRK,JOD,39.06
CNY,RON,911.45
EUR,DKK,5964.33
NOK,DKK,78.88
USD,SAR,867.21
GBP,CZK,28.04
NOK,HRK,21.22
BRL,IDR,999.15
ZAR,OMR,634.4
USD,ZAR,8547.67
PLN,ZAR,897.17
OMR,CHF,76.18
ZAR,RUB,88.13
NOK,DKK,87.79
OMR,BGN,59.98
VND,CNY,9797.49
KRW,ZAR,1344.53
SEK,SGD,35.21
CHF,JPY,4603.72
BRL,OMR,84.17
AED,KWD,66.66
NZD,OMR,4757.39
SAR,BGN,840.66
SGD,THB,55.01
TRY,OMR,50721.31
HUF,NZD,344.59
CNY,THB,20.56
KRW,RUB,39.53
OMR,RUB,64.86
OMR,VND,2585.53
QAR,BHD,663.15
SGD,MYR,83539.38
NZD,RON,647.84
INR,CZK,44.04
USD,SEK,20485.36
GBP,SAR,6560.54
CAD,JPY,7200.45
PLN,RUB,88.67
AED,OMR,97.36
CZK,QAR,44.07
IDR,CHF,794.34
RUB,IDR,777.42
OMR,HKD,42.15
NOK,MXN,664.26
QAR,RUB,87.79
CHF,HRK,783.95
NOK,AED,93.47
SAR,HKD,7450.71
MXN,DKK,537.58
JPY,NZD,1121.96
USD,NOK,53.18
HKD,HUF,86.11
BHD,JPY,244.31
PLN,TRY,72.59
USD,THB,4320.93
IDR,JOD,496.12
VND,BGN,88.86
MYR,NOK,63.28
SGD,QAR,80.65
RUB,USD,45.58
AED,CNY,41070.64
GBP,RUB,16.82
HKD,BHD,25.97
AED,RUB,530.13
RON,ILS,782.79
CAD,NOK,55.12
PLN,VND,52270.78
CNY,TRY,388.29
SEK,BGN,7904.95
MXN,ZAR,12.03
CZK,PLN,33.88
SEK,HRK,68.45
CAD,CZK,8147.67
CAD,AUD,45.45
THB,CAD,973.21
BHD,PHP,65.24
NZD,TRY,8779.99
JPY,ILS,273.81
HUF,IDR,280.53
NOK,ZAR,148.15
SEK,DKK,30663.71
SAR,AUD,3116.38
CZK,ZAR,98.63
RUB,MXN,198.45
NZD,THB,101.8
OMR,JOD,182.82
GBP,HKD,98.57
QAR,SGD,48.17
AUD,JPY,946.4
HRK,JOD,190.21
PHP,PLN,3039.41
CAD,DKK,32.71
JPY,IDR,9390.08
KRW,HRK,38.65
CZK,ZAR,38.08
MXN,SEK,47.52
CZK,JPY,6285.33
NZD,RUB,2641.64
DKK,MXN,87.89
IDR,BHD,494.49
CNY,QAR,327.91
JPY,GBP,8119.73
NZD,TRY,140.16
HKD,CNY,681.47
HKD,HUF,8316.92
GBP,NZD,94.24
SEK,TRY,534.39
SAR,GBP,67.04
DKK,RUB,2985.4
NZD,OMR,7215.67
AED,DKK,412.49
SAR,INR,271.58
CHF,GBP,91.87
INR,KRW,26.29
CHF,HRK,12.6
ILS,JOD,439.06
VND,MYR,314.16
AUD,QAR,425.07
INR,AUD,859.15
BHD,BRL,613.48
RON,VND,324.58
USD,CZK,49.3
