sourceCurrency,targetCurrency,sourceAmount
RSD,AZN,22244.73
EUR,EGP,161419.4
JPY,KES,772.39
DKK,EUR,21304.71
BOB,PKR,134.83
GBP,JPY,486.25
DZD,CNY,28082.75
USD,ZAR,849476.14
GBP,CLP,343324.64
IDR,DZD,4255.7
CLP,EUR,35.88
JPY,TZS,2347.34
BGN,PYG,355.88
USD,VUV,298230.54
MKD,CAD,219.93
CAD,NZD,274.7
GBP,VUV,23.19
EUR,UZS,513698.61
CAD,KRW,160.98
AUD,UAH,14.77
USD,ILS,11.73
CAD,RSD,4259.44
PHP,AUD,43.95
CNY,JPY,2978.85
CAD,UZS,7.65
ILS,AUD,76.88
PEN,THB,26.6
NOK,GEL,4070.18
GBP,LBP,966.59
BDT,JPY,3651.07
JPY,BRL,29382.43
GBP,CNY,8.42
JPY,CLP,303453.73
PGK,CHF,6.54
AUD,UYU,23521.27
BGN,CHF,9.9
SEK,QAR,75.11
GBP,DKK,11.39
CNY,CZK,1899.3
TMT,AMD,433.18
CZK,GHS,83408.44
MYR,CHF,9.55
TZS,CAD,5018.98
HUF,USD,4499.04
IRR,LKR,352.8
NGN,CAD,4418.52
PLN,SAR,301414.45
ARS,CNY,363.91
KES,ZAR,405.74
CHF,LBP,210.9
CAD,HRK,294.45
GBP,MKD,22496.58
LKR,FJD,131.5
CHF,AED,3519.78
PHP,KWD,37897.39
AUD,THB,37746.89
TZS,LBP,115952.52
EUR,VND,22610.08
CAD,UZS,22.99
AED,AUD,23.33
EUR,COP,419.37
PLN,JPY,325.35
CAD,RUB,7.02
SBD,PGK,20541.71
CHF,WST,170.61
CLP,BYN,256.79
GBP,MKD,433.78
CAD,RSD,1339.56
CHF,CLP,9.81
EUR,MKD,113.32
CAD,ALL,179.93
CNY,ZAR,38.81
ARS,EUR,3897.17
BHD,USD,15525.73
FJD,BGN,3.27
NGN,CNY,4364.13
AUD,HKD,209.6
HUF,FJD,24.48
USD,CHF,3805.92
BRL,GBP,32175.26
CAD,NGN,220.12
ALL,GBP,3353.21
KZT,KRW,327.89
UZS,RSD,16967.29
NOK,EUR,613.04
CNY,BDT,287.2
UGX,CHF,37066.51
EUR,JPY,404.67
CLP,OMR,493.68
BGN,EUR,795.73
GBP,MYR,23.54
CHF,KZT,35.66
PEN,NZD,30141.75
EUR,CNY,6293.27
JPY,KZT,3763.24
COP,SBD,150.81
USD,SBD,381.65
GBP,KRW,382852.92
JPY,SGD,20.98
AUD,NOK,3953.3
ILS,GBP,2112.44
AED,JPY,51.76
GEL,TND,2246.32
AUD,RON,1100.37
BDT,LKR,357.12
HRK,RUB,301.61
SEK,GEL,2940.4
CHF,USD,17.39
JPY,KWD,41368.07
CAD,CHF,4488.22
EUR,CHF,41380.63
CNY,PGK,36689.41
MXN,PLN,46.67
GEL,THB,38495.71
UAH,VUV,492.67
GBP,CAD,46.29
BRL,CAD,136.55
AUD,MKD,16710.53
SGD,FJD,39.09
BRL,JPY,167.35
INR,EUR,17054.12
VES,CAD,17.34
IRR,JPY,109216.61
GBP,SBD,751291.26
ZAR,NOK,433.25
WST,JPY,2649.33
CHF,PEN,17.55
JPY,BDT,287.89
HUF,EUR,386.96
HUF,GBP,306.79
JPY,QAR,75.42
EGP,CAD,435.48
LKR,IDR,229.65
USD,TMT,3003.05
ILS,GEL,122.58
OMR,USD,96104.38
CAD,CNY,260.36
DZD,CHF,39.8
PYG,USD,219.0
PEN,COP,287.78
BYN,BOB,4456.46
THB,CAD,29712.45
ZAR,EUR,35929.25
GBP,CAD,424.48
BGN,FJD,25981.58
AUD,TRY,156.21
CHF,PLN,34213.23
GBP,ZAR,45.65
ARS,USD,42339.63
BGN,AUD,400.9
CAD,VES,3415.55
USD,CHF,339.02
EUR,TZS,2624.1
USD,TZS,23766.74
CHF,TMT,69.13
RUB,CAD,76976.13
AUD,CNY,195927.41
CAD,KRW,32.34
MYR,CNY,29.12
AUD,SGD,48158.65
CLP,GHS,25034.14
KRW,CNY,419.37
GBP,CLP,2986.36
TMT,CAD,16.26
KWD,PHP,42706.29
GBP,MXN,34109.88
PHP,AZN,3069.82
EUR,KWD,223.81
JPY,KRW,180.42
RON,EUR,4.47
MYR,GEL,2251.33
EUR,TOP,3.83
UZS,CAD,2612.92
KZT,USD,18903.98
EUR,CLP,477.64
WST,CAD,45815.42
PLN,RSD,147.94
JPY,USD,1665.78
HKD,CNY,3741.78
PHP,JPY,3935.17
CAD,KES,91.9
LBP,CHF,234.51
GEL,CNY,342.57
CZK,QAR,251.75
VUV,CNY,289.21
VES,AUD,31.22
MYR,IDR,9306.79
GBP,PKR,47.44
EUR,MXN,36704.56
JPY,EUR,3036.3
CHF,UGX,4053.08
MDL,PEN,2801.59
PGK,EUR,8252.82
CNY,DZD,23.78
JOD,KES,28.63
HKD,GEL,146.11
CNY,GBP,8.3
LBP,AUD,42894.89
JPY,VES,132.58
CHF,OMR,42987.02
JPY,KZT,492.82
PLN,CAD,202.07
AED,TZS,13.73
VES,USD,14.04
CNY,USD,442.21
EUR,BRL,280.24
JOD,CNY,35044.25
AUD,IDR,483.66
BHD,DZD,105.38
TMT,AMD,4465.07
CNY,MDL,6913.05
JPY,SEK,2207.49
AUD,GBP,3014.67
THB,ALL,43466.91
GBP,RUB,39.1
JPY,TZS,30.68
AUD,NOK,3409.55
IDR,ARS,191.01
JPY,CHF,47809.16
EUR,AED,3.81
JPY,MKD,30.83
TOP,EUR,104891.95
RSD,UZS,387.03
GBP,THB,255.55
SEK,EUR,434.86
BRL,CHF,35.69
GBP,PGK,252.78
AUD,TMT,258.69
JPY,HUF,44.08
CNY,LBP,411.24
BHD,CNY,312.45
USD,AMD,804.39
THB,KZT,20424.16
EUR,PLN,25.97
RSD,EUR,4718.39
BYN,NOK,4024.6
EUR,SAR,3502.01
WST,EUR,10409.7
MXN,AUD,324.96
BRL,CHF,39.17
ARS,AZN,1756.11
SBD,HRK,49.07
CAD,VES,348.24
CNY,BRL,288.95
JPY,BRL,136.7
MKD,AED,15.85
GBP,VUV,1298.14
USD,BYN,744005.96
CHF,LBP,390.56
VND,GBP,3878.21
MXN,ALL,21791.92
CHF,CAD,1452.55
AUD,BOB,8262.73
SBD,BYN,4571.99
WST,JPY,2265.21
TZS,USD,146366.24
SGD,USD,1287.49
PGK,BYN,223.2
LBP,USD,3481.34
PKR,USD,35791.53
KRW,VES,47776.22
NZD,BOB,31355.15
TOP,IDR,19.17
USD,VES,2560.17
PLN,FJD,339.22
PKR,GBP,222.98
IRR,EGP,691.27
HKD,SGD,12692.16
KZT,MDL,1699.54
EGP,CNY,816.66
PLN,AUD,48963.57
LKR,UAH,477473.13
DKK,CAD,332.72
EUR,TWD,12805.04
VND,CNY,336.68
JPY,PGK,4370.6
AUD,SEK,454.87
KWD,USD,9.16
KWD,MAD,25084.12
ETB,GHS,25.69
CNY,KRW,27.16
KES,EUR,199.87
TZS,VES,209.01
CAD,USD,19.24
AUD,RUB,181.47
CAD,NGN,1.78
BHD,GBP,355.39
MDL,VUV,3098.38
JPY,CNY,3700.81
AMD,JPY,3028.1
RON,CAD,320041.83
CAD,SEK,30.8
GBP,ARS,44.84
COP,AUD,4606.73
MAD,UAH,33701.85
TWD,JPY,127.39
CHF,AED,11.05
EGP,CNY,738.76
AZN,CAD,67.78
JPY,USD,12.59
AUD,MDL,283.91
BRL,SEK,428.87
TZS,IRR,299.18
BDT,JPY,35.5
MKD,KZT,70127.71
GBP,CZK,18.0
HUF,CHF,16781.01
EUR,LKR,33.33
IRR,RUB,977.3
IDR,GBP,25.99
CNY,SEK,3956.65
EUR,PKR,168195.36
UZS,CHF,43.98
PGK,KRW,30.2
AUD,RUB,29.36
VUV,TRY,4967.97
HKD,BGN,18214.55
BYN,AUD,98.81
SEK,CHF,2.65
AED,ARS,3673.1
CHF,NOK,264.83
USD,PYG,464.58
JPY,GHS,29018.38
CAD,JPY,38.61
CZK,ETB,436.46
CAD,BHD,16462.89
AUD,IRR,484.57
CAD,SAR,666.2
TMT,PLN,47.26
VUV,GBP,40438.66
ETB,VES,78.51
UAH,EUR,137.9
KZT,GBP,45.08
PEN,JPY,17753.51
VND,CNY,864.62
PKR,AUD,6385.29
PHP,CNY,10682.63
GBP,AUD,65.53
CNY,NZD,27.24
TZS,JPY,3077.29
SAR,CAD,495.8
CZK,TND,36.3
CHF,LKR,20.76
CAD,MXN,73.07
CHF,PKR,750.31
SGD,JPY,131.66
MAD,AUD,4.89
BGN,EGP,257.2
DKK,AED,43.23
JPY,PHP,20049.07
AUD,OMR,22132.6
NOK,CNY,416.73
TMT,CHF,1148.49
VND,USD,5046.97
CAD,SEK,196.85
CAD,CZK,26.79
BYN,CNY,427.64
LBP,CAD,22083.32
VUV,WST,30.35
GHS,SEK,45157.14
EUR,TND,39504.67
BDT,AZN,409.85
GBP,JOD,31.48
CHF,KES,15.91
AED,TZS,37221.41
JPY,LKR,33.77
KRW,ETB,11.88
MXN,GBP,349.7
QAR,GBP,22542.55
DZD,KWD,285.39
PEN,JPY,141.98
AUD,FJD,27.14
RSD,GBP,236.66
TMT,LBP,9894.24
TMT,CHF,1676.76
ETB,CHF,332.39
UYU,BRL,183.0
CAD,INR,3716.82
NGN,SAR,207.78
MKD,LKR,9642.24
HRK,UZS,14.35
AMD,HKD,4.43
EUR,PLN,1352.12
CHF,NOK,10.46
PYG,BHD,18.9
EUR,EGP,4139.5
RON,CAD,1392.23
KZT,CHF,76.13
JPY,UYU,27.25
USD,ZAR,207.53
FJD,EUR,382.73
DZD,VND,2316.62
GBP,CAD,244.05
CAD,TOP,139.07
HRK,CHF,28.67
AUD,COP,102.22
NOK,USD,317.1
CNY,TRY,340.42
IDR,AMD,339.21
GBP,SAR,662.58
CAD,USD,75.5
HKD,GEL,4986.26
EUR,TMT,29527.24
AUD,LKR,49.64
LBP,PKR,3165.94
CZK,CHF,10143.18
PGK,EUR,12504.38
GBP,RSD,543209.46
CZK,BGN,12.47
BGN,USD,19.79
EGP,EUR,41.17
CNY,BHD,21.79
EUR,VND,26.09
ILS,CZK,775.05
USD,THB,2663.72
RUB,BGN,2855.15
CAD,NGN,1726.01
TZS,CNY,284.55
CNY,ETB,48.17
CNY,CAD,19.35
CNY,HUF,131.67
GBP,OMR,697.49
USD,JOD,4.71
QAR,USD,23892.6
NZD,CAD,13098.65
USD,AED,1442.4
BGN,AUD,2051.31
CNY,AZN,32.72
VES,BGN,457.6
EGP,CHF,1906.55
EUR,HUF,580733.21
EUR,CNY,2625.08
TWD,EGP,28.94
AUD,CNY,1787.47
EUR,CHF,31677.18
VES,BOB,189.34
COP,MYR,4532.99
USD,RON,37.09
GBP,TWD,235.04
CNY,UZS,117.44
PEN,USD,26.77
CAD,LBP,38018.43
CHF,COP,47.14
USD,AUD,411.51
VND,BDT,420514.99
PGK,ETB,4527.51
CAD,TZS,86.89
AMD,IDR,33822.13
JPY,VES,3542.63
GHS,CHF,29660.12
KZT,JPY,130.14
GBP,ARS,4793.97
EUR,CZK,277.65
VES,VUV,372.89
MYR,JPY,318.52
AUD,CNY,9.36
USD,KRW,2008.23
CNY,CHF,348.5
CNY,MAD,983574.14
CHF,AZN,2544.98
AUD,UYU,3690.4
EUR,CNY,3590.81
UZS,AUD,290.85
GHS,AUD,2388.51
KWD,JPY,377.38
CAD,FJD,323706.47
CAD,GBP,390282.31
UYU,SBD,131.96
JPY,NZD,310.06
TZS,USD,14.12
CHF,HKD,2432.09
EUR,IDR,3655.11
KRW,JPY,37.7
FJD,BDT,76.36
JPY,CNY,357.09
TRY,CHF,237.5
CNY,KRW,3892.66
SAR,AUD,450.93
EUR,LKR,4272.65
CAD,KZT,4698.13
CHF,BRL,4.82
BHD,JPY,21.71
SEK,JPY,1665.74
LKR,EUR,74.86
VES,AUD,3006.01
TWD,USD,8835.73
JPY,TRY,294510.13
CNY,BYN,3458.56
SGD,KWD,3072.99
GBP,CNY,618.16
GBP,NGN,40.53
ETB,AZN,388.59
HKD,LBP,1731.92
UAH,EUR,376.52
ALL,AUD,3499.89
IRR,GBP,17675.02
TWD,JPY,4520.48
NZD,CAD,42460.09
CAD,VES,26955.71
CLP,CHF,402438.35
CNY,PLN,4804.63
DZD,JPY,427.03
GBP,GEL,26984.74
JPY,AMD,186.19
IDR,NZD,4362.44
TWD,AED,5.41
BDT,PKR,32.29
MDL,CHF,137.2
HKD,CNY,1562.93
GBP,PYG,208.58
JPY,EGP,162.31
CAD,USD,247.25
CNY,RON,199345.33
BGN,AED,114.08
EGP,PEN,41485.27
CNY,LKR,187.01
UZS,AUD,59840.7
AMD,AUD,21764.39
BDT,CAD,436.5
PLN,CAD,3337.34
JOD,MKD,30.44
GBP,AUD,879.38
KRW,MAD,199.3
JPY,BYN,3690.49
JPY,MXN,963.02
BYN,BGN,4004.42
CLP,FJD,813462.22
EUR,AUD,3444.67
EUR,ILS,170.17
KRW,KES,24666.06
MYR,AUD,37.23
USD,KES,3703.14
SEK,UGX,27.61
ALL,UGX,4764.18
CHF,RUB,1073.19
GBP,SAR,2437.05
IRR,ILS,3765.95
CHF,SGD,4076.61
CAD,ARS,293.78
IRR,GBP,496.0
AUD,AZN,381.85
CHF,PYG,1342.03
AUD,DKK,8.46
CAD,FJD,407.83
AUD,NOK,3228.67
IDR,USD,36.71
VUV,JPY,4267.06
CHF,IDR,44.35
PLN,BDT,3190.94
THB,WST,13891.18
RON,QAR,17144.8
ILS,JPY,17.68
AUD,COP,426.99
SGD,TWD,455.18
VUV,EUR,332.69
PHP,IRR,364.68
CNY,TOP,2814.52
CNY,WST,15346.2
CHF,FJD,1886.74
USD,MDL,25.78
GBP,AUD,226.99
CAD,UYU,44.1
BOB,RUB,12.47
VES,CNY,408541.94
TWD,PKR,389.39
SEK,CHF,296.33
EUR,NOK,3547.89
AMD,USD,28127.75
VES,MYR,145.58
PKR,CNY,47.27
